Sl No,Part name ,Description,Quantity,Price / Unit,Price INR,Price $,Link
1,STMICROELECTRONICS NUCLEO-H753ZI,MCU for Multi-PID Control and Kalman FIlters,1,"₹5,500","₹5,500",$61.60,https://amzn.in/d/6vPsplN
2,BMI088,High Performance Accelerometer and Gyroscope,1,"₹4,100","₹4,100",$45.92,https://robu.in/product/grove-6-axis-accelerometer-and-gyroscope-bmi088/
3,Li-ion Battery 7.4V,Battery Power for on-board compute,1,₹512,₹512,$5.73,https://robu.in/product/pro-range-icr-18650-7-4v-2200mah-2c-2s1p-li-ion-battery-pack-no-bms/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWfmcAme7YTMiYOiaGBv6BeJ8&gclid=CjwKCAiA9aPKBhBhEiwAyz82J-MKPPnj1LBD0YNX_vA6BzPWNjcB4H4mjawCdpUU3YQWbf9u7fexcxoCeKAQAvD_BwE
4,LIS3MDL ,Magnetometer,1,₹372,₹372,$4.17,https://robu.in/product/smartelex-lis2mdl-triple-axis-magnetometer/?gad_source=1&gad_campaignid=18585959909&gbraid=0AAAAADvLFWfVEuN_CkXguf5A11LE7zTvv&gclid=CjwKCAiA9aPKBhBhEiwAyz82J56p_UaqnSvhrJRudo0HUh_lJjrVjD9YL8-JAUHa7n5Z1TTBmLGtgRoCvg0QAvD_BwE
5,BMP388,Pressure Sensor,1,₹399,₹399,$4.47,https://thinkrobotics.com/products/bmp388-atmospheric-pressure-sensor-module?variant=39537988796502&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=cpc&utm_source=SR_google&utm_medium=pmax&utm_campaign=PMaxShopping_IN_SR467_TROAS_8x-22986575267&utm_content=-&gad_source=1&gad_campaignid=22980324231&gbraid=0AAAAACk3EvxxR6T_ohEoI2QuJXwHUYtg7&gclid=CjwKCAiAmKnKBhBrEiwAaqAnZ4dfHZogFcBMgFSSBUNPVMATbEGkXNi3QzU3S-Mi5KPNulaPTi6gcRoCd8cQAvD_BwE
6,TMP102,Thermal Sensor,1,₹109,₹109,$1.22,https://robu.in/product/smartelex-digital-temperature-sensor-tmp102/?gad_source=1&gad_campaignid=18585959909&gbraid=0AAAAADvLFWd1oQ0eLNiB-2Tcq1GluroB9&gclid=CjwKCAiAmKnKBhBrEiwAaqAnZ4GLU5vGam8jNCeECMhksNn6HtClvZPlNQTcOWfL35D9WQ4iea5ibhoCi-MQAvD_BwE
7,MS5611-01BA03,Precision Altimeter,1,₹800,₹800,$8.96,https://www.amazon.in/IDUINO-MS5611-01BA03-Atmospheric-Precision-Altimeter/dp/B0D12FW37B
8,SPI Flash,Logging flight data,1,₹405,₹405,$4.54,https://www.amazon.in/7Semi-128Mbit-Serial-Memory-Breakout/dp/B0F9LDWTT9
9,NEO-M8N,GPS,1,₹899,₹899,$10.07,https://robu.in/product/apm2-5-ublox-neo-m8n-gps-module-gygpsv1-8m-3-5v-gygpsv5-neo-pixhawk-apm-ceramic-active-antenna/?gad_source=1&gad_campaignid=17419548928&gbraid=0AAAAADvLFWcj3t-RFYkWLnti3tiD9dJN0&gclid=CjwKCAiAmKnKBhBrEiwAaqAnZ8rLm7TeoeL9n8UErvNuckrBTUEch5RahPXoBcKQBtCg2o9HfbPF7xoCUkIQAvD_BwE
10,ST3215 ,Servo with encoder for precise fin control,4,"₹1,800","₹7,200",$80.64,https://www.alibaba.com/product-detail/ST3215-Series-Serial-Bus-Servo-High_1601622947795.html?mark=google_shopping&seo=1
